,classification_id,user_id,workflow_id,annotations,subject_ids
353,390808812,2395292,20494,"unusual host, edge-on galaxy?, double source",71287063
354,390808892,2395292,20494,edge of image,71287196
355,390808995,2395292,20494,"spiral galaxy,",71287272
356,390809835,2395292,20494,"small, faint,",71287260
357,390810598,2395292,20494,"double source, radio galaxy, unclear host",71287241
358,390811162,2395292,20494,"blob, extended emission, diffuse",71287052
359,390811487,2395292,20494,"double source, asymmetric brightness",71287004
360,390811896,2395292,20494,"bright, asymmetric, multiple peaks",71287276
361,390811986,2395292,20494,"faint, diffuse, long",71287284
362,390812280,2395292,20494,"diffuse, extended, tailed",71287178
363,390813207,2395292,20494,"small, slightly bent",71287040
364,390814047,2395292,20494,"large, faint, diffuse",71287258
365,390815283,2395292,20494,"small, asymmetrical ",71287148
366,390815347,2395292,20494,"small, faint, blobby",71287103
367,390815405,2395292,20494,"faint, long",71287192
368,390815461,2395292,20494,"small, faint",71287210
369,390815891,2395292,20494,"bright,  oval",71287007
370,390816015,2395292,20494,"artefact,",71287042
371,390816083,2395292,20494,"faint, diffuse, extended",71287132
372,390816298,2395292,20494,"faint, diffuse",71287135
373,390816365,2395292,20494,"small, faint, compact",71287018
374,390816593,2395292,20494,"bright, radio galaxy, core and lobes",71287279
375,390816630,2395292,20494,"faint, small",71287097
376,390816740,2395292,20494,"extended, diffuse",71286999
377,390816867,2395292,20494,"radio galaxy, edge of image, bright core",71287093
378,390816945,2395292,20494,"extended, asymmetrical ",71287230
379,390816989,2395292,20494,faint extended emission ,71287253
380,390817011,2395292,20494,"small, faint",71287030
381,390817376,2395292,20494,"bright, long, jet",71287138
382,390817408,2395292,20494,"faint, small",71287155
383,390817610,2395292,20494,"blob, long emission ",71287281
384,390818130,2395292,20494,"nearby sources, small, compact",71287145
385,390818270,2395292,20494,"diffuse, asymmetrical, edge on spiral with jets?",71287288
386,390818361,2395292,20494,"blobby, spral galaxy, cluster",71287235
387,390818940,2395292,20494,asymmetric,71287005
388,390818981,2395292,20494,"small, diffuse, c-shaped",71287177
389,390819072,2395292,20494,"long and bent, bright, multiple peaks ",71287143
390,390819134,2395292,20494,"extended, bright spot, diffuse",71287269
391,390819170,2395292,20494,long,71287100
392,390819353,2395292,20494,"bright central region, part of larger object",71287020
393,390819396,2395292,20494,"small, diffuse",71287068
